Name	Location	Year	Kilometers_Driven	Owner_Type	Mileage (kmpl)	Engine (cc)	Power (bhp)	Seats	Price	Fuel_Type_Diesel	Fuel_Type_Petrol	Transmission_Automatic	Transmission_Manual	Car_Age
Mercedes-Benz E-Class E 220 d	Kochi	2018	26405	First	12.6	1950.0	191.34	5.0	51.43	0	1	1	0	7
Mercedes-Benz GLS 350d 4MATIC	Pune	2017	129000	First	11.0	2987.0	258.0	7.0	56.0	1	0	1	0	8
Land Rover Range Rover HSE Dynamic	Coimbatore	2017	49275	First	12.7	2179.0	187.7	5.0	45.64	1	0	1	0	8
Audi A6 2011-2015 35 TDI Technology	Coimbatore	2017	41041	First	17.68	1968.0	174.33	5.0	37.56	1	0	1	0	8
Mercedes-Benz New C-Class Progressive C 200	Kochi	2019	13190	First	0.0	1950.0	181.43	5.0	38.99	0	1	1	0	6
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater	Mumbai	2014	19000	First	15.97	2993.0	258.0	7.0	44.0	1	0	1	0	11
Jaguar XF 2.2 Litre Executive	Delhi	2016	10000	First	16.36	2179.0	187.7	5.0	44.0	1	0	1	0	9
Mercedes-Benz GLC 220d 4MATIC Style	Mumbai	2018	10003	First	17.9	2143.0	170.0	5.0	48.5	1	0	1	0	7
BMW 5 Series 2013-2017 530d M Sport	Coimbatore	2016	20967	First	14.69	2993.0	258.0	5.0	44.56	1	0	1	0	9
BMW 5 Series 2013-2017 520d Luxury Line	Coimbatore	2016	19658	First	18.12	1995.0	190.0	5.0	35.84	1	0	1	0	9
Mercedes-Benz New C-Class C 250 CDI Avantgarde	Coimbatore	2017	25559	First	19.71	2143.0	201.15	5.0	37.93	1	0	1	0	8
Jaguar XJ 2.0L Portfolio	Mumbai	2017	10501	First	9.43	1999.0	237.4	5.0	75.0	0	1	1	0	8
Mercedes-Benz SLK-Class SLK 350	Coimbatore	2016	22732	First	18.1	3498.0	306.0	2.0	55.54	0	1	1	0	9
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde	Chennai	2017	34000	First	13.0	2143.0	204.0	5.0	36.0	1	0	1	0	8
BMW X5 xDrive 30d Design Pure Experience 5 Seater	Hyderabad	2015	69000	First	15.97	2993.0	258.0	5.0	54.0	1	0	1	0	10
Audi Q7 3.0 TDI Quattro Premium Plus	Coimbatore	2015	46983	Second	12.07	2967.0	241.4	7.0	43.35	1	0	1	0	10
Jaguar XF 2.2 Litre Luxury	Coimbatore	2016	47877	First	16.36	2179.0	187.7	5.0	35.68	1	0	1	0	9
BMW 3 Series 320d Luxury Line	Coimbatore	2016	14351	First	18.88	1995.0	184.0	5.0	35.55	1	0	1	0	9
Mercedes-Benz New C-Class C 220d Avantgarde Edition C	Coimbatore	2018	36797	First	19.27	2143.0	167.62	5.0	39.47	1	0	1	0	7
Mercedes-Benz SLK-Class SLK 350	Bangalore	2015	10000	First	18.1	3498.0	306.0	2.0	55.0	0	1	1	0	10
Mercedes-Benz GLE 250d	Mumbai	2016	21000	First	17.9	2143.0	201.15	5.0	56.0	1	0	1	0	9
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater	Mumbai	2014	47000	First	15.97	2993.0	258.0	7.0	41.5	1	0	1	0	11
Mercedes-Benz E-Class Facelift	Coimbatore	2018	56652	First	13.0	2987.0	258.0	5.0	50.29	1	0	1	0	7
Audi Q5 30 TDI quattro Premium	Coimbatore	2017	40318	First	14.16	1968.0	174.3	5.0	43.74	1	0	1	0	8
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater	Hyderabad	2016	76000	First	15.97	2993.0	258.0	7.0	58.0	1	0	1	0	9
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic	Kochi	2018	31427	First	15.68	1999.0	177.0	5.0	59.72	1	0	1	0	7
Mercedes-Benz C-Class Progressive C 220d	Mumbai	2018	8682	First	0.0	1950.0	194.0	5.0	39.5	1	0	1	0	7
Mercedes-Benz GL-Class 350 CDI Blue Efficiency	Delhi	2014	85000	First	11.3	2987.0	254.8	7.0	38.75	1	0	1	0	11
Land Rover Range Rover TDV8 (Diesel)	Bangalore	2011	55000	First	10.2	4367.0	308.0	7.0	67.0	1	0	1	0	14
Porsche Boxster S tiptronic	Kolkata	2015	10512	First	8.6	2706.0	265.0	2.0	64.0	0	1	1	0	10
Audi Q7 4.2 TDI Quattro Technology	Bangalore	2014	50000	First	11.33	4134.0	335.2	7.0	51.0	1	0	1	0	11
Audi Q7 3.0 TDI Quattro Premium Plus	Coimbatore	2015	53735	Second	12.07	2967.0	241.4	7.0	38.94	1	0	1	0	10
Mercedes-Benz E-Class E 220 d	Kochi	2018	20446	First	12.6	1950.0	191.34	5.0	51.35	0	1	1	0	7
BMW 5 Series 2013-2017 530d M Sport	Bangalore	2015	16900	First	14.69	2993.0	258.0	5.0	44.0	1	0	1	0	10
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade	Mumbai	2017	15000	First	13.0	2987.0	265.0	5.0	69.5	1	0	1	0	8
Audi Q7 35 TDI Quattro Premium Plus	Mumbai	2015	65938	Second	12.07	2967.0	241.4	7.0	38.0	1	0	1	0	10
Jaguar XE 2.0L Diesel Prestige	Delhi	2018	1000	First	13.6	1999.0	177.0	5.0	40.0	1	0	1	0	7
Audi Q5 3.0 TDI Quattro	Coimbatore	2018	32496	First	13.22	2967.0	241.4	5.0	45.62	1	0	1	0	7
Mercedes-Benz M-Class ML 350 4Matic	Bangalore	2014	33000	Second	0.0	2987.0	165.0	5.0	43.0	1	0	1	0	11
Audi Q7 45 TDI Quattro Technology	Mumbai	2016	20002	First	14.75	2967.0	245.0	7.0	67.0	1	0	1	0	9
Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel	Bangalore	2012	66538	First	10.2	4367.0	308.0	7.0	70.0	1	0	1	0	13
Mercedes-Benz E-Class 2015-2017 E350 Edition E	Jaipur	2015	41493	First	13.0	2987.0	265.0	5.0	42.0	1	0	1	0	10
BMW 5 Series 520d Sport Line	Kochi	2019	18373	First	22.48	1995.0	187.74	5.0	45.86	1	0	1	0	6
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater	Kochi	2016	35659	First	15.97	2993.0	258.0	7.0	43.78	1	0	1	0	9
Land Rover Range Rover Sport 2005 2012 Sport	Coimbatore	2008	69078	First	0.0	1497.0	98.6	5.0	40.88	0	1	0	1	17
Audi Q5 2.0 TDI Premium Plus	Hyderabad	2016	43000	First	14.16	1968.0	174.3	5.0	39.5	1	0	1	0	9
Jaguar XJ 3.0L Portfolio LWB	Kochi	2016	17652	First	12.9	2993.0	270.88	5.0	58.73	1	0	1	0	9
Land Rover Range Rover Sport SE	Kochi	2019	26013	First	12.65	2993.0	255.0	5.0	97.07	1	0	1	0	6
Audi Q5 2008-2012 3.0 TDI	Chennai	2014	25000	First	12.19	2967.0	236.0	5.0	44.0	1	0	1	0	11
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury	Bangalore	2014	52000	First	12.0	2987.0	224.0	7.0	49.0	1	0	1	0	11
Audi Q7 35 TDI Quattro Technology	Bangalore	2015	21000	First	12.07	2967.0	241.4	7.0	48.0	1	0	1	0	10
Land Rover Discovery Sport TD4 HSE 7S	Mumbai	2017	40000	First	12.81	1999.0	148.31	7.0	41.5	1	0	1	0	8
Audi Q7 45 TDI Quattro Premium Plus	Kochi	2019	6773	First	14.75	2967.0	245.0	7.0	72.94	1	0	1	0	6
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury	Delhi	2013	46000	First	12.0	2987.0	224.0	7.0	36.0	1	0	1	0	12
Jaguar XE 2.0L Diesel Prestige	Hyderabad	2017	4000	First	13.6	1999.0	177.0	5.0	38.0	1	0	1	0	8
BMW 5 Series 520d Luxury Line	Kochi	2018	32586	First	22.48	1995.0	190.0	5.0	37.3	1	0	1	0	7
Mercedes-Benz GLE 350d	Coimbatore	2018	40129	First	11.57	2987.0	254.79	5.0	70.8	1	0	1	0	7
BMW X6 xDrive 40d	Hyderabad	2013	58000	First	11.2	2993.0	306.0	4.0	48.0	1	0	1	0	12
Porsche Cayenne Diesel	Mumbai	2013	70000	First	15.15	2967.0	240.0	5.0	40.0	1	0	1	0	12
Mercedes-Benz M-Class ML 350 4Matic	Pune	2015	69000	First	0.0	2987.0	165.0	5.0	38.0	1	0	1	0	10
Mercedes-Benz M-Class ML 350 CDI	Hyderabad	2012	83000	First	11.74	2987.0	254.8	5.0	36.0	1	0	1	0	13
Mercedes-Benz GLE 350d	Coimbatore	2017	33552	First	11.57	2987.0	254.79	5.0	64.87	1	0	1	0	8
BMW 5 Series 2013-2017 520d Luxury Line	Jaipur	2017	19543	First	18.12	1995.0	190.0	5.0	40.5	1	0	1	0	8
Audi Q5 30 TDI quattro Premium Plus	Bangalore	2014	38000	Second	14.16	1968.0	174.3	5.0	38.95	1	0	1	0	11
Mercedes-Benz GLS 350d Grand Edition	Delhi	2018	6000	First	11.0	2987.0	258.0	7.0	79.0	1	0	1	0	7
BMW 5 Series 2013-2017 530d M Sport	Coimbatore	2017	27313	First	14.69	2993.0	258.0	5.0	48.63	1	0	1	0	8
Audi Q5 30 TDI quattro Premium Plus	Coimbatore	2015	42747	Second	14.16	1968.0	174.3	5.0	39.47	1	0	1	0	10
BMW 7 Series 740Li	Coimbatore	2018	28060	First	12.05	2979.0	320.0	5.0	93.67	0	1	1	0	7
BMW 7 Series 740Li	Bangalore	2017	17465	First	12.05	2979.0	320.0	5.0	93.0	0	1	1	0	8
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury	Pune	2014	79000	First	12.0	2987.0	224.0	7.0	41.0	1	0	1	0	11
BMW 7 Series 730Ld Eminence	Kochi	2015	29966	Second	16.77	2993.0	261.49	5.0	43.6	1	0	1	0	10
BMW 6 Series 640d Coupe	Mumbai	2013	30000	First	9.52	2993.0	313.0	4.0	45.0	1	0	1	0	12
Mercedes-Benz SLC 43 AMG	Coimbatore	2019	2526	First	19.0	2996.0	362.07	2.0	83.96	0	1	1	0	6
Mercedes-Benz GLE 250d	Kochi	2017	25601	First	17.9	2143.0	201.15	5.0	56.73	1	0	1	0	8
Mercedes-Benz New C-Class C 220d Avantgarde Edition C	Coimbatore	2018	24465	First	19.27	2143.0	167.62	5.0	39.45	1	0	1	0	7
Audi Q7 3.0 TDI Quattro Technology	Hyderabad	2012	88000	First	12.07	2967.0	241.4	7.0	36.5	1	0	1	0	13
Mercedes-Benz New C-Class C 250 CDI Avantgarde	Mumbai	2017	14470	First	19.71	2143.0	201.15	5.0	38.5	1	0	1	0	8
Land Rover Discovery HSE Luxury 3.0 TD6	Mumbai	2017	35000	First	18.0	2993.0	255.0	7.0	41.6	1	0	1	0	8
BMW 5 Series 2013-2017 520d M Sport	Pune	2018	7000	First	18.12	1995.0	190.0	5.0	46.0	1	0	1	0	7
BMW X6 xDrive30d	Jaipur	2013	45306	Second	11.2	2993.0	241.0	4.0	42.5	1	0	1	0	12
Land Rover Range Rover Sport 2005 2012 HSE	Hyderabad	2010	45000	First	14.7	2993.0	241.4	6.0	40.0	1	0	1	0	15
BMW X5 xDrive 30d	Coimbatore	2016	17738	First	15.3	2993.0	258.0	5.0	54.45	1	0	1	0	9
Mercedes-Benz E-Class E 350 d	Coimbatore	2019	9312	First	18.0	2987.0	258.0	5.0	78.8	1	0	1	0	6
BMW X5 xDrive 30d M Sport	Chennai	2017	6500000	First	15.97	2993.0	258.0	5.0	65.0	1	0	1	0	8
Mercedes-Benz M-Class ML 250 CDI	Coimbatore	2016	23218	First	15.26	2143.0	203.2	5.0	45.61	1	0	1	0	9
Jaguar XJ 3.0L Portfolio	Delhi	2016	12000	First	10.5	2993.0	271.23	4.0	79.0	1	0	1	0	9
Mercedes-Benz New C-Class C 220d Avantgarde Edition C	Coimbatore	2018	23152	First	19.27	2143.0	167.62	5.0	39.22	1	0	1	0	7
Mercedes-Benz GLC 220d 4MATIC Sport	Mumbai	2017	25000	First	17.9	2143.0	170.0	5.0	45.0	1	0	1	0	8
Mercedes-Benz New C-Class C 220d Avantgarde Edition C	Bangalore	2017	20149	First	19.27	2143.0	167.62	5.0	38.5	1	0	1	0	8
Audi Q7 3.0 TDI Quattro Premium Plus	Hyderabad	2012	79000	First	12.07	2967.0	241.4	7.0	39.0	1	0	1	0	13
Mercedes-Benz E-Class E 220 d	Mumbai	2018	11000	First	16.1	1950.0	194.0	5.0	56.5	1	0	1	0	7
BMW 6 Series Gran Coupe	Delhi	2013	21000	Second	17.54	2993.0	313.0	4.0	44.0	1	0	1	0	12
Land Rover Discovery SE 3.0 TD6	Delhi	2016	59000	First	18.0	2993.0	255.0	7.0	36.75	1	0	1	0	9
Audi Q7 35 TDI Quattro Technology	Coimbatore	2016	28733	Second	12.07	2967.0	241.4	7.0	53.11	1	0	1	0	9
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade	Kochi	2018	21603	First	13.0	2987.0	265.0	5.0	70.15	1	0	1	0	7
BMW X6 xDrive 40d M Sport	Chennai	2016	25000	First	15.87	2993.0	308.43	5.0	60.0	1	0	1	0	9
Audi Q7 35 TDI Quattro Technology	Bangalore	2015	21000	Second	12.07	2967.0	241.4	7.0	52.5	1	0	1	0	10
Porsche Panamera Diesel	Kolkata	2015	25100	First	17.85	2967.0	300.0	4.0	75.0	1	0	1	0	10
Porsche Panamera Diesel 250hp	Kochi	2014	60033	First	18.18	2967.0	250.0	4.0	51.52	1	0	1	0	11
Mini Cooper Convertible S	Kochi	2017	20469	First	16.82	1998.0	189.08	4.0	35.98	0	1	1	0	8
Mercedes-Benz New C-Class C 220d Avantgarde Edition C	Coimbatore	2018	20604	First	19.27	2143.0	167.62	5.0	39.62	1	0	1	0	7
Mercedes-Benz GLE 350d	Coimbatore	2018	30706	First	11.57	2987.0	254.79	5.0	59.29	1	0	1	0	7
BMW X5 X5 M	Pune	2015	69002	First	15.97	2993.0	258.0	5.0	50.0	1	0	1	0	10
Mercedes-Benz GLE 350d	Mumbai	2017	19863	First	11.57	2987.0	254.79	5.0	64.95	1	0	1	0	8
Audi Q7 35 TDI Quattro Premium Plus	Kochi	2016	72132	Second	12.07	2967.0	241.4	7.0	39.0	1	0	1	0	9
Porsche Panamera Diesel	Delhi	2013	48000	Second	17.85	2967.0	300.0	4.0	50.5	1	0	1	0	12
Jaguar XJ 3.0L Portfolio	Hyderabad	2015	26000	First	14.47	2993.0	301.73	5.0	75.0	1	0	1	0	10
Land Rover Range Rover HSE Dynamic	Kochi	2018	41661	First	12.7	2179.0	187.7	5.0	44.83	1	0	1	0	7
Mercedes-Benz New C-Class C 220d Avantgarde Edition C	Coimbatore	2018	10714	First	19.27	2143.0	167.62	5.0	39.51	1	0	1	0	7
Porsche Panamera 2010 2013 4S	Coimbatore	2010	42400	Third	8.0	4806.0	394.3	4.0	42.91	0	1	1	0	15
BMW 5 Series 2013-2017 530d M Sport	Coimbatore	2016	19254	First	14.69	2993.0	258.0	5.0	47.7	1	0	1	0	9
Mini Cooper S Carbon Edition	Kolkata	2018	2971	First	13.6	1598.0	181.0	4.0	39.75	0	1	1	0	7
Land Rover Discovery Sport TD4 HSE	Coimbatore	2019	25899	First	12.63	2179.0	147.5	5.0	55.7	1	0	1	0	6
Mercedes-Benz New C-Class C 220 CDI Style	Hyderabad	2017	11200	First	19.27	2143.0	167.62	5.0	37.5	1	0	1	0	8
Mercedes-Benz GL-Class 350 CDI Blue Efficiency	Delhi	2016	16000	First	11.3	2987.0	254.8	7.0	56.0	1	0	1	0	9
Jaguar XF Diesel	Coimbatore	2016	55115	First	14.74	2993.0	270.9	5.0	36.15	1	0	1	0	9
Ford Endeavour 3.2 Titanium AT 4X4	Chennai	2019	9000	First	10.91	3198.0	197.0	7.0	35.5	1	0	1	0	6
Mercedes-Benz M-Class ML 350 4Matic	Coimbatore	2016	22769	First	0.0	2987.0	165.0	5.0	49.22	1	0	1	0	9
Land Rover Range Rover 2.2L Dynamic	Pune	2015	52000	First	12.7	2179.0	187.7	5.0	39.75	1	0	1	0	10
Land Rover Range Rover Vogue SE 4.4 SDV8	Bangalore	2012	63000	Second	11.49	4367.0	335.3	5.0	65.0	1	0	1	0	13
Mercedes-Benz E-Class E400 Cabriolet	Kolkata	2015	7501	First	10.0	2996.0	333.0	4.0	48.0	0	1	1	0	10
Mercedes-Benz GLE 350d	Coimbatore	2018	29277	First	11.57	2987.0	254.79	5.0	59.65	1	0	1	0	7
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater	Mumbai	2015	29500	First	15.97	2993.0	258.0	7.0	43.0	1	0	1	0	10
BMW 5 Series 2003-2012 530d	Coimbatore	2016	18090	First	16.2	2993.0	258.0	5.0	45.73	1	0	1	0	9
Porsche Panamera Diesel	Bangalore	2013	19828	Second	17.85	2967.0	300.0	4.0	75.0	1	0	1	0	12
Jaguar XJ 3.0L Premium Luxury	Hyderabad	2012	50000	First	12.9	2993.0	271.23	4.0	45.0	1	0	1	0	13
Land Rover Discovery Sport SD4 HSE Luxury 7S	Hyderabad	2016	62000	First	12.51	2179.0	187.7	7.0	44.5	1	0	1	0	9
Audi A6 35 TDI Matrix	Coimbatore	2017	36824	First	18.53	1968.0	187.74	5.0	39.84	1	0	1	0	8
Audi Q5 3.0 TDI Quattro Technology	Coimbatore	2017	43827	First	13.22	2967.0	241.4	5.0	36.83	1	0	1	0	8
Mercedes-Benz E-Class E250 CDI Avantgrade	Coimbatore	2016	39753	First	13.0	2143.0	201.1	5.0	35.28	1	0	1	0	9
Mercedes-Benz New C-Class C 220 CDI Style	Hyderabad	2017	10000	First	19.27	2143.0	167.62	5.0	36.0	1	0	1	0	8
Mercedes-Benz GLC 220d 4MATIC Style	Coimbatore	2019	29311	First	17.9	2143.0	170.0	5.0	50.97	1	0	1	0	6
Land Rover Range Rover Sport HSE	Kochi	2015	38467	First	12.65	2993.0	255.0	5.0	70.66	1	0	1	0	10
Audi A6 35 TFSI Matrix	Delhi	2018	22000	First	15.26	1798.0	187.74	5.0	41.5	0	1	1	0	7
Mercedes-Benz New C-Class C 220d Avantgarde Edition C	Coimbatore	2018	27467	First	19.27	2143.0	167.62	5.0	39.05	1	0	1	0	7
Audi Q7 35 TDI Quattro Technology	Coimbatore	2016	32545	First	12.07	2967.0	241.4	7.0	48.76	1	0	1	0	9
Jaguar XF 2.2 Litre Luxury	Mumbai	2018	3000	First	16.36	2179.0	187.7	5.0	52.5	1	0	1	0	7
Audi RS5 Coupe	Mumbai	2013	23312	First	11.05	2894.0	444.0	4.0	40.5	0	1	1	0	12
Jaguar XF 2.2 Litre Luxury	Hyderabad	2015	50000	First	16.36	2179.0	187.7	5.0	38.0	1	0	1	0	10
Land Rover Range Rover 3.0 Diesel LWB Vogue	Hyderabad	2017	25000	First	13.33	2993.0	255.0	5.0	160.0	1	0	1	0	8
BMW X5 xDrive 30d M Sport	Chennai	2016	45000	First	15.97	2993.0	258.0	5.0	57.0	1	0	1	0	9
Audi Q5 30 TDI quattro Premium Plus	Bangalore	2015	63000	First	14.16	1968.0	174.3	5.0	36.0	1	0	1	0	10
Toyota Fortuner 2.8 2WD MT	Coimbatore	2019	56251	First	14.24	2755.0	174.5	7.0	35.82	1	0	0	1	6
Mercedes-Benz E-Class 2015-2017 E250 Edition E	Coimbatore	2017	43477	First	15.0	2143.0	204.0	5.0	38.15	1	0	1	0	8
Mercedes-Benz GL-Class 350 CDI Blue Efficiency	Chennai	2015	45000	First	11.3	2987.0	254.8	7.0	56.0	1	0	1	0	10
Porsche Panamera Diesel	Kochi	2015	54996	First	17.85	2967.0	300.0	4.0	60.95	1	0	1	0	10
BMW X6 xDrive30d	Coimbatore	2014	39626	First	11.2	2993.0	241.0	4.0	40.66	1	0	1	0	11
Audi Q7 35 TDI Quattro Technology	Coimbatore	2016	45180	First	12.07	2967.0	241.4	7.0	50.22	1	0	1	0	9
BMW 6 Series Gran Coupe	Kochi	2018	20004	First	17.54	2993.0	313.0	4.0	68.94	1	0	1	0	7
Porsche Cayenne Diesel	Coimbatore	2015	60395	First	16.12	2967.0	245.0	5.0	45.82	1	0	1	0	10
BMW 7 Series 730Ld	Chennai	2014	35000	First	16.46	2993.0	258.0	5.0	52.0	1	0	1	0	11
Audi Q7 4.2 TDI Quattro Technology	Bangalore	2015	50000	First	11.33	4134.0	335.2	7.0	48.0	1	0	1	0	10
Mercedes-Benz M-Class ML 350 4Matic	Coimbatore	2016	27833	First	0.0	2987.0	165.0	5.0	49.24	1	0	1	0	9
Mercedes-Benz New C-Class C220 CDI Executive Edition	Kochi	2019	17320	First	15.8	2148.0	170.0	5.0	37.99	1	0	1	0	6
Audi Q7 3.0 TDI Quattro Technology	Hyderabad	2014	60000	First	12.07	2967.0	241.4	7.0	45.0	1	0	1	0	11
Ford Mustang V8	Kochi	2018	21290	First	13.0	4951.0	395.0	4.0	56.8	0	1	1	0	7
Audi Q7 3.0 TDI Quattro Premium Plus	Hyderabad	2015	50000	First	12.07	2967.0	241.4	7.0	47.5	1	0	1	0	10
Jaguar XF 2.2 Litre Executive	Bangalore	2015	19000	Second	16.36	2179.0	187.7	5.0	38.0	1	0	1	0	10
Mercedes-Benz GLE 350d	Chennai	2016	29000	First	11.57	2987.0	254.79	5.0	65.0	1	0	1	0	9
Audi Q5 30 TDI quattro Premium Plus	Coimbatore	2016	47293	First	14.16	1968.0	174.3	5.0	38.72	1	0	1	0	9
BMW X1 sDrive 20d xLine	Coimbatore	2019	15456	First	20.68	1995.0	190.0	5.0	36.64	1	0	1	0	6
BMW X5 X5 M	Chennai	2017	15000	First	15.97	2993.0	258.0	5.0	70.0	1	0	1	0	8
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury	Delhi	2015	55000	First	12.0	2987.0	224.0	7.0	52.0	1	0	1	0	10
Mercedes-Benz SLK-Class 55 AMG	Bangalore	2014	3000	Second	12.0	5461.0	421.0	2.0	90.0	0	1	1	0	11
Mercedes-Benz M-Class ML 350 4Matic	Bangalore	2015	20000	First	0.0	2987.0	165.0	5.0	47.35	1	0	1	0	10
BMW X3 xDrive30d M Sport	Bangalore	2016	49000	First	16.55	2993.0	258.0	5.0	45.0	1	0	1	0	9
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic	Hyderabad	2016	52000	First	15.68	1999.0	177.0	5.0	42.0	1	0	1	0	9
BMW 7 Series 2007-2012 730Ld	Hyderabad	2009	53000	First	14.49	2993.0	258.0	5.0	36.0	1	0	1	0	16
BMW 3 Series Luxury Line	Kochi	2018	21936	First	21.76	1995.0	190.0	5.0	37.92	1	0	1	0	7
BMW 6 Series 630i Coupe	Mumbai	2011	5900	First	7.94	4395.0	450.0	4.0	47.5	0	1	1	0	14
Audi A4 35 TDI Technology	Hyderabad	2017	14000	First	18.25	1968.0	187.74	5.0	43.0	1	0	1	0	8
Land Rover Range Rover 3.6 TDV8 Vogue SE	Coimbatore	2012	84384	First	10.2	4367.0	308.0	7.0	52.54	1	0	1	0	13
Mercedes-Benz M-Class ML 250 CDI	Hyderabad	2014	50000	First	15.26	2143.0	203.2	5.0	45.0	1	0	1	0	11
BMW Z4 2009-2013 Roadster 2.5i	Kochi	2018	9952	First	10.37	2979.0	306.0	2.0	58.54	0	1	1	0	7
Mercedes-Benz GLC 220d 4MATIC Style	Mumbai	2017	24000	First	17.9	2143.0	170.0	5.0	46.95	1	0	1	0	8
Audi A6 2011-2015 35 TDI Technology	Hyderabad	2015	50000	First	17.68	1968.0	174.33	5.0	36.0	1	0	1	0	10
Audi Q7 4.2 TDI Quattro Technology	Coimbatore	2015	56238	First	11.33	4134.0	335.2	7.0	51.69	1	0	1	0	10
BMW 5 Series 530d M Sport	Hyderabad	2016	27000	First	18.59	2993.0	265.0	5.0	48.0	1	0	1	0	9
BMW X3 xDrive20d	Bangalore	2016	45165	First	16.09	1995.0	184.0	5.0	41.75	1	0	1	0	9
Audi Q7 45 TDI Quattro Technology	Pune	2017	59500	First	14.75	2967.0	245.0	7.0	68.0	1	0	1	0	8
Land Rover Discovery Sport TD4 HSE 7S	Coimbatore	2019	24013	First	12.81	1999.0	148.31	7.0	56.14	1	0	1	0	6
Land Rover Discovery Sport SD4 HSE Luxury 7S	Coimbatore	2019	17201	First	12.51	2179.0	187.7	7.0	58.91	1	0	1	0	6
